requirement,Component,Shape,Dimension,Color,Functionality,Domain,probable zone,css,type,Zone
Users should be able to jump to another section or webpage with a single tap.,Link button,rectangular,24x64,grey,,,main_content_zone,"{
  ""component"": ""LinkButtonIcon"",
  ""style"": {
    ""position"": ""relative"",
    ""width"": ""100px"",
    ""height"": ""100px"",
    ""borderRadius"": ""16px"",
    ""border"": ""4px solid black"",
    ""boxSizing"": ""border-box"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""backgroundColor"": ""white""
  },
  ""elements"": {
    ""arrow-line"": {
      ""position"": ""absolute"",
      ""width"": ""60px"",
      ""height"": ""10px"",
      ""backgroundColor"": ""black"",
      ""top"": ""20px"",
      ""left"": ""20px"",
      ""transform"": ""rotate(45deg)"",
      ""transformOrigin"": ""left center""
    },
    ""arrow-head"": {
      ""position"": ""absolute"",
      ""width"": ""0"",
      ""height"": ""0"",
      ""borderTop"": ""10px solid transparent"",
      ""borderBottom"": ""10px solid transparent"",
      ""borderLeft"": ""15px solid black"",
      ""top"": ""10px"",
      ""right"": ""10px"",
      ""transform"": ""rotate(45deg)""
    },
    ""box-corner"": {
      ""position"": ""absolute"",
      ""width"": ""60px"",
      ""height"": ""60px"",
      ""border"": ""8px solid black"",
      ""borderTop"": ""none"",
      ""borderRight"": ""none"",
      ""bottom"": ""0"",
      ""left"": ""0"",
      ""borderRadius"": ""12px""
    }
  }
}",Link button_icon.png,
"Visual content should be displayed clearly, adapting to different screen sizes.",Image,Square,172x172,black,,,main_content_zone,".image-component {
  width: 400px;
  height: 300px;
  border: 4px solid black; /* Outer frame */
  background-color: white;
  position: relative;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Inner image frame */
.image-component .inner-frame {
  width: 90%;
  height: 80%;
  border: 2px solid black;
  position: relative;
  background-color: transparent;
}

/* Mountains (as triangles) */
.image-component .mountain1,
.image-component .mountain2 {
  position: absolute;
  bottom: 0;
  border-style: solid;
}

/* Left mountain */
.image-component .mountain1 {
  left: 10%;
  border-width: 0 40px 60px 40px;
  border-color: transparent transparent black transparent;
}

/* Right mountain */
.image-component .mountain2 {
  left: 35%;
  border-width: 0 50px 80px 50px;
  border-color: transparent transparent black transparent;
}

/* Sun (circle) */
.image-component .sun {
  position: absolute;
  top: 10%;
  right: 10%;
  width: 30px;
  height: 30px;
  background-color: black;
  border-radius: 50%;
}",Image_icon.png,
A brief description should accompany images for better context.,Image with caption,rectangular,172x196,blue,,,main_content_zone,".image-caption-wrapper {
  width: 400px;
  height: 350px; /* Reference size */
  border: 2px solid black;
  display: flex;
  flex-direction: column;
  align-items: center;
  padding: 10px;
  background-color: white;
  box-shadow: 2px 2px 8px gray;
}

.caption-image {
  width: 100%;
  height: 250px;
  object-fit: cover;
  border-bottom: 1px solid black;
}

.caption-text {
  padding-top: 10px;
  font-size: 16px;
  text-align: center;
  color: black;
}",Image with caption_icon.png,
Headings should stand out to help users navigate the content easily.,Title,rectangular,"(24px, bold) 24x10 ",blue,,,header_zone,,Title_icon.png,
Additional headings should provide clarity without overwhelming users.,Sub title,rectangular,"(16px, bold) 16x10",blue,,,header_zone,,Sub title_icon.png,
Text content should be readable and well-spaced for user convenience.,Paragraph,rectangular,"(14px, regular) 14x10",blue,,,main_content_zone,"{
  ""component"": ""ParagraphSymbol"",
  ""style"": {
    ""width"": ""100px"",
    ""height"": ""100px"",
    ""borderRadius"": ""50%"",                  // Circular shape
    ""backgroundColor"": ""white"",             // Background behind the symbol
    ""border"": ""2px solid black"",            // Thin black border
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""fontSize"": ""48px"",                     // Prominent symbol size
    ""fontWeight"": ""bold"",
    ""color"": ""black"",                       // Symbol color
    ""fontFamily"": ""Arial, sans-serif"",
    ""boxShadow"": ""0px 4px 6px rgba(0, 0, 0, 0.1)"", // Subtle shadow
    ""margin"": ""10px""
  },
  ""content"": ""�""
}",Paragraph_icon.png,
A subtle animation should indicate when the system is processing a task.,Loader,circular,64x64,black,,,main_content_zone,,Loader_icon.png,
Users should see a rotating animation when waiting for an action to complete.,Spinner,circular,64x64,grey,,,main_content_zone,".spinner {
  width: 100px;
  height: 100px;
  border: 8px solid lightgray;
  border-top: 8px solid black;
  border-radius: 50%;
  animation: spin 1s linear infinite;
  margin: auto;
}

/* Spin Animation */
@keyframes spin {
  0% { transform: rotate(0deg); }
  100% { transform: rotate(360deg); }
}",Spinner_icon.png,
A visual representation should indicate how far along a task is.,Progress,rectangular,16x96,black,,,main_content_zone,".progress {
  width: 400px;
  height: 30px;
  background-color: navy;
  border-radius: 5px;
  overflow: hidden;
  position: relative;
}

/* Progress Fill */
.progress::before {
  content: """";
  display: block;
  height: 100%;
  width: 25%; /* example fill */
  background-color: lightblue;
}",Progress_icon.png,
A compact section should remain visible without obstructing the main content.,Floating aside section,rectangular,320x768,black,,,navigation_zone,,Floating aside section_icon.png,
Users should be able to check the time in their preferred format.,Clock (Digital),Square,196x196,black,,,header_zone,,Clock (Digital)_icon.png,
Users should be able to check the time in their preferred format.,Clock (Analog),circular,196x196,black,,,header_zone,".clock {
  width: 300px;
  height: 300px;
  border: 8px solid black;
  border-radius: 50%;
  position: relative;
  background-color: white;
}

/* Center dot */
.clock::before {
  content: """";
  width: 10px;
  height: 10px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  top: 50%;
  left: 50%;
  transform: translate(-50%, -50%);
  z-index: 10;
}

/* Hour Hand */
.clock .hour {
  width: 6px;
  height: 70px;
  background-color: black;
  position: absolute;
  top: 80px;
  left: 147px;
  transform-origin: bottom center;
  transform: rotate(0deg); /* Set dynamically */
  z-index: 5;
}

/* Minute Hand */
.clock .minute {
  width: 4px;
  height: 100px;
  background-color: black;
  position: absolute;
  top: 50px;
  left: 148px;
  transform-origin: bottom center;
  transform: rotate(0deg); /* Set dynamically */
  z-index: 6;
}

/* Tick marks */
.clock .tick {
  width: 2px;
  height: 10px;
  background-color: black;
  position: absolute;
  top: 0;
  left: 149px;
  transform-origin: bottom center;
}",Clock (Analog)_icon.png,
A circular dial should help users monitor key metrics at a glance.,Gauge,Square,150x150,black,,,main_content_zone,".guage { 
  position: relative; 
  width: 250px; 
  height: 125px; 
  border-top-left-radius: 125px; 
  border-top-right-radius: 125px; 
  background-color: transparent; 
  overflow: hidden; 
  border: 10px solid #222; 
  border-bottom: none; 
  margin: 20px auto; 
} 
 
.ticks { 
  position: absolute; 
  top: 0; 
  left: 0; 
  width: 100%; 
  height: 100%; 
} 
 
.tick { 
  position: absolute; 
  top: 0; 
  left: 50%; 
  width: 6px; 
  height: 30px; 
  background-color: #222; 
  transform-origin: bottom center; 
} 
 
.needle { 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  width: 4px; 
  height: 90px; 
  background-color: #222; 
  transform-origin: bottom center; 
  transition: transform 0.5s ease; 
} 
 
.center-dot { 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  width: 20px; 
  height: 20px; 
  background-color: #222; 
  border-radius: 50%; 
  transform: translate(-50%, 50%); 
} 
",Gauge_icon.png,
A visual thermometer should indicate current temperature levels.,Thermometer Widget,rectangular,196x20,black,,,main_content_zone,"{
  ""thermometer-container"": {
    ""position"": ""relative"",
    ""width"": ""20px"",
    ""height"": ""120px"",
    ""backgroundColor"": ""black"",
    ""borderRadius"": ""10px"",
    ""margin"": ""auto""
  },
  ""thermometer-bulb"": {
    ""position"": ""absolute"",
    ""bottom"": ""-30px"",
    ""left"": ""-20px"",
    ""width"": ""60px"",
    ""height"": ""60px"",
    ""backgroundColor"": ""black"",
    ""borderRadius"": ""50%""
  },
  ""bar1"": {
    ""position"": ""absolute"",
    ""right"": ""-30px"",
    ""top"": ""15px"",
    ""width"": ""40px"",
    ""height"": ""10px"",
    ""backgroundColor"": ""black""
  },
  ""bar2"": {
    ""position"": ""absolute"",
    ""right"": ""-30px"",
    ""top"": ""45px"",
    ""width"": ""40px"",
    ""height"": ""10px"",
    ""backgroundColor"": ""black""
  },
  ""bar3"": {
    ""position"": ""absolute"",
    ""right"": ""-30px"",
    ""top"": ""75px"",
    ""width"": ""40px"",
    ""height"": ""10px"",
    ""backgroundColor"": ""black""
  },
  ""wave1"": {
    ""position"": ""absolute"",
    ""bottom"": ""-60px"",
    ""left"": ""-40px"",
    ""width"": ""150px"",
    ""height"": ""20px"",
    ""backgroundImage"": ""repeating-linear-gradient(90deg, transparent, transparent 5px, black 5px, black 15px)"",
    ""borderBottom"": ""5px solid black"",
    ""borderTopLeftRadius"": ""10px"",
    ""borderTopRightRadius"": ""10px""
  },
  ""wave2"": {
    ""position"": ""absolute"",
    ""bottom"": ""-80px"",
    ""left"": ""-40px"",
    ""width"": ""150px"",
    ""height"": ""20px"",
    ""backgroundImage"": ""repeating-linear-gradient(90deg, transparent, transparent 5px, black 5px, black 15px)"",
    ""borderBottom"": ""5px solid black"",
    ""borderTopLeftRadius"": ""10px"",
    ""borderTopRightRadius"": ""10px""
  }
}",Thermometer Widget_icon.png,
Users should have a directional guide displayed dynamically.,Compass,circular,172x172,black,,,main_content_zone,"{
  ""compass-container"": {
    ""position"": ""relative"",
    ""width"": ""200px"",
    ""height"": ""200px"",
    ""border"": ""8px solid black"",
    ""borderRadius"": ""50%"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center""
  },
  ""compass-needle"": {
    ""position"": ""absolute"",
    ""width"": ""4px"",
    ""height"": ""90px"",
    ""backgroundColor"": ""black"",
    ""transformOrigin"": ""bottom center"",
    ""transform"": ""rotate(0deg)""
  },
  ""needle-tip"": {
    ""position"": ""absolute"",
    ""top"": ""10px"",
    ""left"": ""calc(50% - 8px)"",
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderLeft"": ""8px solid transparent"",
    ""borderRight"": ""8px solid transparent"",
    ""borderBottom"": ""20px solid white""
  },
  ""direction-n"": {
    ""position"": ""absolute"",
    ""top"": ""5px"",
    ""left"": ""50%"",
    ""transform"": ""translateX(-50%)"",
    ""fontWeight"": ""bold""
  },
  ""direction-s"": {
    ""position"": ""absolute"",
    ""bottom"": ""5px"",
    ""left"": ""50%"",
    ""transform"": ""translateX(-50%)"",
    ""fontWeight"": ""bold""
  },
  ""direction-e"": {
    ""position"": ""absolute"",
    ""top"": ""50%"",
    ""right"": ""5px"",
    ""transform"": ""translateY(-50%)"",
    ""fontWeight"": ""bold""
  },
  ""direction-w"": {
    ""position"": ""absolute"",
    ""top"": ""50%"",
    ""left"": ""5px"",
    ""transform"": ""translateY(-50%)"",
    ""fontWeight"": ""bold""
  }
}",Compass_icon.png,
A small interactive map should provide location details seamlessly.,Map Widget,Square,400x400,grey,,,main_content_zone,"/* Container to simulate the widget */
.map-widget {
  width: 100px;
  height: 140px;
  position: relative;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Pin shape */
.pin {
  width: 100px;
  height: 140px;
  background-color: black;
  border-radius: 50% 50% 50% 50% / 60% 60% 40% 40%;
  position: relative;
  clip-path: polygon(50% 100%, 0 40%, 0 30%, 50% 0%, 100% 30%, 100% 40%);
}

/* Inner white circle */
.pin .circle {
  position: absolute;
  top: 25%;
  left: 25%;
  width: 50px;
  height: 50px;
  background-color: white;
  border-radius: 50%;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Car icon */
.pin .circle .car {
  font-size: 24px;
  color: black;
}",Map Widget_icon.png,
Thin dividers should help distinguish different sections of content.,Line Separator,rectangular,20x196,black,,,main_content_zone,,Line Separator_icon.png,
Content should be grouped in rectangular sections for better organization.,Card Widget,Square,150x150,black,,,main_content_zone,,Card Widget_icon.png,
A guided step-by-step indicator should show progress in multi-stage tasks.,Stepper Widget,rectangular,196x40,black,,,main_content_zone,,Stepper Widget_icon.png,
"The infotainment system shall display the total distance traveled by the vehicle in kilometers or miles, based on user preference",Odometer,circular,200x200,black,,,main_content_zone,".odometer-container { 
  width: 300px; 
  margin: 40px auto; 
} 
 
.gauge-arc { 
  position: relative; 
  width: 100%; 
  height: 150px; 
  border-top-left-radius: 150px; 
  border-top-right-radius: 150px; 
  border: 10px solid black; 
  border-bottom: none; 
  overflow: hidden; 
} 
 
.tick { 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  width: 6px; 
  height: 25px; 
  background-color: black; 
  transform-origin: bottom center; 
} 
 
.needle { 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  width: 6px; 
  height: 80px; 
  background-color: black; 
  transform-origin: bottom center; 
  transition: transform 0.5s ease-in-out; 
} 
 
.center-circle { 
  position: absolute; 
  bottom: -10px; 
  left: 50%; 
  width: 30px; 
  height: 30px; 
  background-color: white; 
  border: 6px solid black; 
  border-radius: 50%; 
  transform: translateX(-50%); 
} 
 
.display-box { 
  width: 80px; 
  height: 25px; 
  margin: 20px auto 0; 
  border: 5px solid black; 
  border-radius: 5px; 
} 
",Odometer_icon.png,
"The system shall allow the user to switch between available drive modes through a touchscreen interface or physical controls, based on vehicle capabilities",Drive mode,Square,100x100,black,,,header_zone,,Drive mode_icon.png,
The terrain mode status shall be retained after vehicle restart unless overridden by safety protocols,Terrian Mode,Square,100x100,grey,,,header_zone,,Terrian Mode_icon.png,
The clock shall support automatic synchronization via GPS or network connection.,Digital Clock,Square,100x100,black,,,header_zone,,Digital Clock_icon.png,
The temperature data shall be sourced from the vehicle’s external sensor and updated in real-time,Outside Temperature,Square,100x100,black,,,header_zone,"{
  ""component"": ""OutsideTemperature"",
  ""style"": {
    ""width"": ""80px"",
    ""height"": ""200px"",
    ""borderRadius"": ""12px"",                   // Rounded corners for a softer look
    ""backgroundColor"": ""white"",
    ""border"": ""2px solid black"",
    ""display"": ""flex"",
    ""flexDirection"": ""column"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""padding"": ""10px"",
    ""boxShadow"": ""0px 4px 8px rgba(0, 0, 0, 0.1)"",
    ""fontSize"": ""40px"",
    ""color"": ""black"",
    ""margin"": ""10px""
  },
  ""icon"": ""?????"",
  ""label"": {
    ""text"": ""Outside Temp"",
    ""style"": {
      ""fontSize"": ""12px"",
      ""marginTop"": ""8px"",
      ""color"": ""black""
    }
  }
}",Outside Temperature_icon.png,
The system shall display vehicle speed in digital format with an option to switch between km/h and mph,Digital Speed,rectangular,300x400,black,,,main_content_zone,,Digital Speed_icon.png,
The infotainment system shall display the engine’s RPM digitally with real-time updates.,Digital RPM,rectangular,300x400,black,,,main_content_zone,".DigitalRPM { 
  width: 300px; 
  height: 150px; 
  position: relative; 
  margin: 40px auto; 
} 
 
.gauge { 
  width: 100%; 
  height: 100%; 
  border-radius: 100% 100% 0 0; 
  background: transparent; 
  position: relative; 
} 
 
.segments { 
  position: absolute; 
  width: 100%; 
  height: 100%; 
  top: 0; 
  left: 0; 
} 
 
.segment { 
  width: 6px; 
  height: 20px; 
  background-color: red; 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  transform-origin: bottom center; 
} 
 
.needle { 
  width: 4px; 
  height: 120px; 
  background-color: red; 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  transform-origin: bottom center; 
  transition: transform 0.3s ease-in-out; 
} 
 
.center-dot { 
  width: 20px; 
  height: 20px; 
  background-color: black; 
  border-radius: 50%; 
  position: absolute; 
  bottom: 0; 
  left: calc(50% - 10px); 
} 
",Digital RPM_icon.png,
The system shall allow users to enable or disable the digital power display via settings,Digital Power,rectangular,300x400,black,,,main_content_zone,,Digital Power_icon.png,
"The infotainment system shall display the current gear position (P, R, N, D, L) in real-time",Gear (PRNDL),Square,150x150,black,,,header_zone,".gear-selector {
  display: flex;
  align-items: center;
  font-family: sans-serif;
}

/* Labels: P R N D L */
.gear-labels {
  display: flex;
  flex-direction: column;
  gap: 10px;
  font-weight: bold;
  font-size: 20px;
  color: black;
  margin-right: 20px;
}

/* Vertical Track */
.gear-track {
  width: 40px;
  height: 180px;
  background-color: lightgray;
  border-radius: 20px;
  position: relative;
  display: flex;
  justify-content: center;
}

/* Gear Slider (movable) */
.gear-slider {
  width: 30px;
  height: 30px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  top: 0; /* adjust dynamically via JS if needed */
}",Gear (PRNDL)_icon.png,
The system shall display the selected manual gear mode (M1 to Mx) when in manual shift mode,Gear (M1 to Mx),Square,150x150,black,,,header_zone,,Gear (M1 to Mx)_icon.png,
The driver shall have the option to disable the gear shift recommendation display.,Gear Shift Recommendation,Square,150x150,grey,,,main_content_zone,,Gear Shift Recommendation_icon.png,
The system shall display paddle shifter engagement status when the driver uses manual shifting,Paddle Shifter,Square,80x80,grey,,,main_content_zone,,Paddle Shifter_icon.png,
The infotainment system shall display a digital speedometer with an option to switch between analog and digital views,Speedometer,circular,300x300,blue,,,main_content_zone,".speedometer-wrapper { 
  display: flex; 
  flex-direction: column; 
  align-items: center; 
  width: 300px; 
  margin: 0 auto; 
} 
 
.speedometer { 
  position: relative; 
  width: 280px; 
  height: 280px; 
  border: 2px solid black; 
  border-radius: 50%; 
  background-color: transparent; 
  overflow: hidden; 
} 
 
.ticks { 
  position: absolute; 
  width: 100%; 
  height: 100%; 
  top: 0; 
  left: 0; 
} 
 
.tick { 
  width: 2px; 
  height: 15px; 
  background-color: black; 
  position: absolute; 
  top: 10px; 
  left: 50%; 
  transform-origin: center bottom; 
} 
 
.tick.major { 
  height: 25px; 
  width: 3px; 
} 
 
.needle { 
  width: 4px; 
  height: 120px; 
  background-color: black; 
  position: absolute; 
  top: 40px; 
  left: 50%; 
  transform-origin: bottom center; 
  transition: transform 0.3s ease-in-out; 
} 
 
.center-dot { 
  width: 20px; 
  height: 20px; 
  background-color: black; 
  border-radius: 50%; 
  position: absolute; 
  top: 130px; 
  left: 130px; 
} 
 
.unit-box { 
  margin-top: 10px; 
  border: 1px solid black; 
  width: 80px; 
  height: 30px; 
  display: flex; 
  align-items: center; 
  justify-content: center; 
} 
 
.unit { 
  font-weight: bold; 
  font-size: 14px; 
} 
 
.speed-label { 
  margin-top: 5px; 
  font-size: 18px; 
  font-weight: bold; 
} 
",Speedometer_icon.png,
The tachometer shall update in real-time based on engine speed data,Tachometer,circular,200x200,blue,,,main_content_zone,"{
  ""tachometer-wrapper"": {
    ""position"": ""relative"",
    ""width"": ""200px"",
    ""height"": ""200px"",
    ""borderRadius"": ""50%"",
    ""border"": ""12px solid black"",
    ""boxSizing"": ""border-box"",
    ""overflow"": ""hidden""
  },
  ""center-dot"": {
    ""position"": ""absolute"",
    ""top"": ""50%"",
    ""left"": ""50%"",
    ""width"": ""20px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""borderRadius"": ""50%"",
    ""transform"": ""translate(-50%, -50%)""
  },
  ""needle"": {
    ""position"": ""absolute"",
    ""top"": ""50%"",
    ""left"": ""50%"",
    ""width"": ""6px"",
    ""height"": ""80px"",
    ""backgroundColor"": ""black"",
    ""transformOrigin"": ""bottom center"",
    ""transform"": ""translateX(-50%) rotate(-45deg)""
  },
  ""tick1"": {
    ""position"": ""absolute"",
    ""top"": ""10px"",
    ""left"": ""50%"",
    ""width"": ""4px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""transform"": ""translateX(-50%) rotate(0deg)"",
    ""transformOrigin"": ""bottom center""
  },
  ""tick2"": {
    ""position"": ""absolute"",
    ""top"": ""20px"",
    ""left"": ""85%"",
    ""width"": ""4px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""transform"": ""rotate(45deg)"",
    ""transformOrigin"": ""bottom center""
  },
  ""tick3"": {
    ""position"": ""absolute"",
    ""top"": ""50%"",
    ""left"": ""95%"",
    ""width"": ""4px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""transform"": ""rotate(90deg)"",
    ""transformOrigin"": ""bottom center""
  },
  ""tick4"": {
    ""position"": ""absolute"",
    ""top"": ""85%"",
    ""left"": ""85%"",
    ""width"": ""4px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""transform"": ""rotate(135deg)"",
    ""transformOrigin"": ""bottom center""
  }
}",Tachometer_icon.png,
The fuel gauge shall update dynamically based on sensor data from the fuel tank.,Fuel,rectangular,300x150,black,,,header_zone,".fuel-wrapper { 
  display: flex; 
  justify-content: center; 
  align-items: center; 
  width: 280px; 
  margin: auto; 
} 
 
.fuel-gauge { 
  position: relative; 
  width: 250px; 
  height: 130px; 
  border-top-left-radius: 125px; 
  border-top-right-radius: 125px; 
  background: transparent; 
  overflow: visible; 
} 
 
.ticks { 
  position: absolute; 
  top: 0; 
  left: 0; 
  width: 100%; 
  height: 100%; 
} 
 
.tick { 
  width: 3px; 
  height: 20px; 
  background-color: #333; 
  position: absolute; 
  top: 0; 
  left: 50%; 
  transform-origin: center bottom; 
} 
 
.needle { 
  width: 4px; 
  height: 100px; 
  background-color: #c40000; 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  transform-origin: bottom center; 
  transition: transform 0.4s ease-in-out; 
} 
 
.center-dot { 
  width: 20px; 
  height: 20px; 
  background-color: #333; 
  border-radius: 50%; 
  position: absolute; 
  bottom: 0; 
  left: calc(50% - 10px); 
} 
 
.label { 
  position: absolute; 
  font-weight: bold; 
  font-size: 20px; 
} 
 
.e-label { 
  bottom: 0; 
  left: 10px; 
  color: #b30000; 
} 
 
.f-label { 
  bottom: 0; 
  right: 10px; 
  color: #333; 
} 
 
.fuel-icon { 
  font-size: 20px; 
  position: absolute; 
  top: 35px; 
  left: 50%; 
 
",Fuel_icon.png,
The system shall display the engine coolant temperature with a gauge.,Coolant,rectangular,100x150,black,,,main_content_zone,".coolant-icon {
  width: 100px;
  height: 100px;
  background-color: white;
  position: relative;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Base container representing the thermometer pipe */
.coolant-icon .thermo-body {
  width: 20px;
  height: 70px;
  background-color: black;
  border-radius: 10px;
  position: relative;
}

/* Thermometer bulb at bottom */
.coolant-icon .thermo-bulb {
  width: 30px;
  height: 30px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  bottom: -15px;
  left: 50%;
  transform: translateX(-50%);
}

/* Heat waves (zigzag lines above) */
.coolant-icon .wave {
  width: 40px;
  height: 5px;
  background-color: black;
  position: absolute;
  left: 50%;
  transform: translateX(-50%) rotate(0deg);
}

/* Individual wave positions */
.coolant-icon .wave1 {
  top: 5px;
}
.coolant-icon .wave2 {
  top: 15px;
}
.coolant-icon .wave3 {
  top: 25px;
}",Coolant_icon.png,
The power display shall be dynamically updated based on engine load,Power,Square,150x150,black,,,main_content_zone,"{
  ""car-body"": {
    ""position"": ""relative"",
    ""width"": ""120px"",
    ""height"": ""60px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""10px"",
    ""borderTopLeftRadius"": ""30px"",
    ""margin"": ""20px auto"",
    ""boxSizing"": ""border-box""
  },
  ""car-door"": {
    ""position"": ""absolute"",
    ""top"": ""20px"",
    ""left"": ""20px"",
    ""width"": ""20px"",
    ""height"": ""15px"",
    ""border"": ""3px solid black"",
    ""borderRadius"": ""4px"",
    ""boxSizing"": ""border-box""
  },
  ""car-front"": {
    ""position"": ""absolute"",
    ""top"": ""5px"",
    ""left"": ""-25px"",
    ""width"": ""30px"",
    ""height"": ""30px"",
    ""border"": ""4px solid black"",
    ""borderRight"": ""none"",
    ""borderRadius"": ""10px 0 0 10px"",
    ""boxSizing"": ""border-box""
  },
  ""bolt-circle"": {
    ""position"": ""absolute"",
    ""top"": ""-30px"",
    ""right"": ""-40px"",
    ""width"": ""60px"",
    ""height"": ""60px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""50%"",
    ""boxSizing"": ""border-box""
  },
  ""bolt"": {
    ""position"": ""absolute"",
    ""top"": ""-18px"",
    ""right"": ""-20px"",
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderLeft"": ""10px solid transparent"",
    ""borderRight"": ""10px solid transparent"",
    ""borderBottom"": ""20px solid black"",
    ""transform"": ""rotate(25deg)""
  },
  ""bolt-tail"": {
    ""position"": ""absolute"",
    ""top"": ""-5px"",
    ""right"": ""-5px"",
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderLeft"": ""6px solid transparent"",
    ""borderRight"": ""6px solid transparent"",
    ""borderTop"": ""15px solid black"",
    ""transform"": ""rotate(25deg)""
  }
}",Power_icon.png,
The system shall display energy regeneration status for hybrid vehicles.,Regeneration,Square,150x150,black,,,main_content_zone,,Regeneration_icon.png,
The system shall display the battery charge level for electric vehicles.,Battery State of Charge Gauge,square,150x300,black,,,main_content_zone,".battery-gauge {
  width: 50px;
  height: 30px;
  border: 3px solid black; /* Outer battery body */
  border-radius: 4px;
  position: relative;
  background-color: white;
  display: flex;
  align-items: center;
  padding: 2px;
  box-sizing: border-box;
}

/* Battery terminal */
.battery-gauge::after {
  content: """";
  position: absolute;
  right: -6px;
  top: 30%;
  width: 4px;
  height: 40%;
  background-color: black;
  border-radius: 1px;
}

/* Battery level bars */
.battery-gauge .bar {
  height: 100%;
  background-color: black;
  margin-left: 2px;
  flex: 1;
  border-radius: 1px;
}

/* Empty space to simulate charge level */
.battery-gauge .bar.empty {
  background-color: transparent;
  border: 1px solid black;
}",Battery State of Charge Gauge_icon.png,
The system shall display the DEF level for diesel vehicles.,UREA (DEF) Gauge,rectangular,150x300,black,,,main_content_zone,,UREA (DEF) Gauge_icon.png,
The system shall provide low CNG warnings when fuel levels drop below a predefined threshold.,CNG Gauge,rectangular,190x280,black,,,main_content_zone,,CNG Gauge_icon.png,
The system shall record and display the total distance traveled in Trip A.,Trip A - Distance,Square,100x100,blue,,,main_content_zone,,Trip A - Distance_icon.png,
The system shall calculate and display the fuel efficiency for Trip A.,Trip A - Mileage,Square,100x100,blue,,,main_content_zone,,Trip A - Mileage_icon.png,
The system shall record the total driving time for Trip A.,Trip A - Time,Square,100x100,blue,,,main_content_zone,,Trip A - Time_icon.png,
The system shall calculate and display the average speed for Trip A.,Trip A - Avg. Speed,Square,100x100,blue,,,main_content_zone,,Trip A - Avg. Speed_icon.png,
The system shall record and display the total distance traveled in Trip B.,Trip B - Distance,Square,100x100,blue,,,main_content_zone,,Trip B - Distance_icon.png,
The system shall calculate and display the fuel efficiency for Trip B.,Trip B - Mileage,Square,100x100,blue,,,main_content_zone,,Trip B - Mileage_icon.png,
The system shall record the total driving time for Trip B.,Trip B - Time,Square,100x100,blue,,,main_content_zone,,Trip B - Time_icon.png,
The system shall calculate and display the average speed for Trip B.,Trip B - Avg. Speed,Square,100x100,blue,,,main_content_zone,,Trip B - Avg. Speed_icon.png,
The system shall display the estimated cruising range based on current fuel level and driving conditions.,Cruising range,rectangular,100x100,black,,,main_content_zone,,Cruising range_icon.png,
The system shall display the estimated electric range for EVs based on battery charge level.,Electric range display,rectangular,150x300,black,,,footer_zone,,Electric range display_icon.png,
The system shall provide real-time fuel consumption data in L/100km or MPG.,Instantaneous fuel consumption display,rectangular,150x300,black,,,footer_zone,".Instantaneous-Fuel-Consumption-Display  {
  position: relative;
  width: 200px;
  height: 200px;
  border-radius: 50%;
  border: 5px solid black;
  background: white;
  margin: 20px;
}

.gauge-arc {
  position: absolute;
  top: 50%;
  left: 50%;
  width: 8px;
  height: 80px;
  background: black;
  transform-origin: bottom center;
  transform: rotate(45deg); /* Needle angle can be dynamically updated */
}

.labels {
  position: absolute;
  bottom: 10px;
  width: 100%;
  display: flex;
  justify-content: space-between;
  padding: 0 15px;
  font-size: 20px;
  font-weight: bold;
}",Instantaneous fuel consumption display_icon.png,
The system shall calculate and display the average fuel consumption over a trip.,Average fuel consumption,Square,150x300,black,,,footer_zone,,Average fuel consumption_icon.png,
